province_id,province_vi,region,region_id,year,D1,D2,D3,D4,D5,D6,D7,D8,total_papi,total_papi_6dim,total_official,n_dims,rank_year,tier
1,Hà Giang,Trung du và miền núi phía Bắc,1,2011,4.876205,4.829181,5.007073,5.220708,6.448717,5.871421,,,32.253304,32.253304,,6,62,Thấp nhất
2,Cao Bằng,Trung du và miền núi phía Bắc,1,2011,5.309291,5.516291,4.798923,4.05398,6.588932,6.256076,,,32.523495,32.523495,,6,61,Thấp nhất
3,Bắc Kạn,Trung du và miền núi phía Bắc,1,2011,5.601996,5.773088,5.725249,5.885087,7.197525,6.480335,,,36.66328,36.66328,,6,19,TB cao
4,Tuyên Quang,Trung du và miền núi phía Bắc,1,2011,5.228072,5.541674,5.371785,5.795823,6.725205,6.596823,,,35.259384,35.259384,,6,38,TB thấp
5,Lào Cai,Trung du và miền núi phía Bắc,1,2011,5.545943,5.830779,5.573418,5.484072,6.450169,6.228536,,,35.112915,35.112915,,6,41,TB thấp
6,Yên Bái,Trung du và miền núi phía Bắc,1,2011,5.157237,6.049838,5.696171,5.769361,7.089154,5.98294,,,35.7447,35.7447,,6,29,TB cao
7,Thái Nguyên,Trung du và miền núi phía Bắc,1,2011,5.286486,5.955234,5.535253,5.492052,6.962739,6.29495,,,35.526714,35.526714,,6,34,TB thấp
8,Lạng Sơn,Trung du và miền núi phía Bắc,1,2011,6.004803,6.380309,5.864292,6.363323,6.75143,7.019526,,,38.383682,38.383686,,6,9,Cao nhất
9,Bắc Giang,Trung du và miền núi phía Bắc,1,2011,5.627799,5.488588,5.444681,4.976701,6.843168,6.52241,,,34.903347,34.903347,,6,44,TB thấp
10,Phú Thọ,Trung du và miền núi phía Bắc,1,2011,5.671049,5.024613,5.86601,5.677862,6.902812,6.578358,,,35.720703,35.720703,,6,30,TB cao
11,Điện Biên,Trung du và miền núi phía Bắc,1,2011,4.83451,5.728653,5.462211,5.069239,6.708876,6.343846,,,34.147335,34.147335,,6,52,Thấp nhất
12,Lai Châu,Trung du và miền núi phía Bắc,1,2011,5.166482,5.084737,5.198565,5.306615,6.675288,6.49568,,,33.92737,33.92737,,6,54,Thấp nhất
13,Sơn La,Trung du và miền núi phía Bắc,1,2011,6.642126,6.536399,5.843012,6.682519,6.684669,6.828486,,,39.21721,39.217213,,6,4,Cao nhất
14,Hòa Bình,Trung du và miền núi phía Bắc,1,2011,6.149224,5.987236,6.053757,5.717377,6.677558,6.647443,,,37.232594,37.232594,,6,12,Cao nhất
15,Hà Nội,Đồng bằng sông Hồng,2,2011,5.76248,5.993628,5.728503,4.999064,6.86417,7.057175,,,36.40502,36.40502,,6,20,TB cao
16,Vĩnh Phúc,Đồng bằng sông Hồng,2,2011,5.45946,5.376756,5.662301,5.627712,6.728115,6.929915,,,35.784256,35.78426,,6,28,TB cao
17,Bắc Ninh,Đồng bằng sông Hồng,2,2011,5.945492,5.300251,5.536696,4.756677,6.873471,6.731758,,,35.144344,35.144344,,6,39,TB thấp
18,Quảng Ninh,Đồng bằng sông Hồng,2,2011,5.50693,5.563884,5.981915,4.581821,6.595512,6.678566,,,34.90863,34.90863,,6,43,TB thấp
19,Hải Dương,Đồng bằng sông Hồng,2,2011,5.680454,5.892763,6.270883,5.508252,6.533383,7.013973,,,36.899708,36.899708,,6,17,TB cao
20,Hải Phòng,Đồng bằng sông Hồng,2,2011,5.178622,5.307114,4.773243,4.595267,7.010265,7.332496,,,34.197006,34.197006,,6,51,Thấp nhất
21,Hưng Yên,Đồng bằng sông Hồng,2,2011,5.107419,5.031453,5.145127,4.942143,6.81072,6.461293,,,33.498154,33.498154,,6,57,Thấp nhất
22,Thái Bình,Đồng bằng sông Hồng,2,2011,5.334291,5.845027,6.422015,5.106078,6.811929,6.630406,,,36.149746,36.14975,,6,22,TB cao
23,Hà Nam,Đồng bằng sông Hồng,2,2011,5.352929,5.570489,6.249077,5.580551,6.702801,6.216433,,,35.67228,35.67228,,6,31,TB cao
24,Nam Định,Đồng bằng sông Hồng,2,2011,5.379339,6.65163,6.295915,5.912676,7.374056,6.770439,,,38.384056,38.384056,,6,8,Cao nhất
25,Ninh Bình,Đồng bằng sông Hồng,2,2011,4.882277,5.231442,5.078667,4.931393,7.017153,6.459054,,,33.599987,33.599987,,6,55,Thấp nhất
26,Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.543016,5.964661,5.943183,5.735574,7.260157,6.782002,,,37.228592,37.228592,,6,13,Cao nhất
27,Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.40526,5.93751,6.318358,5.372231,6.836513,6.413505,,,36.28338,36.283375,,6,21,TB cao
28,Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.629052,6.684592,6.511307,5.918511,7.151428,6.854278,,,38.74917,38.74917,,6,6,Cao nhất
29,Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,6.293084,6.350776,6.570911,6.451807,7.465513,7.21983,,,40.35192,40.35192,,6,1,Cao nhất
30,Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.883188,6.09556,6.984396,5.794321,7.311706,7.040849,,,39.11002,39.11002,,6,5,Cao nhất
31,Thừa Thiên Huế,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.276932,5.354371,5.330616,5.706082,6.644399,6.970898,,,35.283295,35.2833,,6,36,TB thấp
32,Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.278487,5.456141,5.790415,6.083569,7.332107,7.430041,,,37.370758,37.37076,,6,11,Cao nhất
33,Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.329458,5.71666,5.409335,6.291757,6.447381,6.838182,,,36.032772,36.032772,,6,23,TB cao
34,Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.048677,5.305767,5.578123,5.353436,6.409153,6.306332,,,34.001488,34.001488,,6,53,Thấp nhất
35,Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.884237,5.681886,6.004536,6.945232,6.902247,7.013384,,,38.431522,38.431522,,6,7,Cao nhất
36,Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,4.76267,5.019029,5.211934,5.09361,6.578695,6.264314,,,32.930252,32.930252,,6,59,Thấp nhất
37,Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.353788,5.533273,5.277689,5.263045,6.433857,6.663778,,,34.52543,34.52543,,6,46,TB thấp
